movie_title,movie_cd,release_date,group,is_10m
왕과 사는 남자,DUMMY_왕과,2026-02-04,Hit,True
명량,DUMMY_명량,2014-07-30,Hit,True
극한직업,DUMMY_극한,2019-01-23,Hit,True
파묘,DUMMY_파묘,2024-02-22,Hit,True
서울의 봄,DUMMY_서울,2023-11-22,Hit,True
범죄도시2,DUMMY_범죄,2022-05-18,Hit,True
신과함께-죄와 벌,DUMMY_신과,2017-12-20,Hit,True
국제시장,DUMMY_국제,2014-12-17,Hit,True
한산: 용의 출현,DUMMY_한산,2022-07-27,Compare,False
공조2: 인터내셔날,DUMMY_공조,2022-09-07,Compare,False
베테랑2,DUMMY_베테,2024-09-13,Compare,False
밀수,DUMMY_밀수,2023-07-26,Compare,False
하얼빈,DUMMY_하얼,2024-12-24,Compare,False
노량: 죽음의 바다,DUMMY_노량,2023-12-20,Compare,False
엑시트,DUMMY_엑시,2019-07-31,Compare,False
백두산,DUMMY_백두,2019-12-19,Compare,False
안시성,DUMMY_안시,2018-09-19,Compare,False
내부자들,DUMMY_내부,2015-11-19,Compare,False
인천상륙작전,DUMMY_인천,2016-07-27,Compare,False
마스터,DUMMY_마스,2024-01-01,Compare,False
청년경찰,DUMMY_청년,2017-08-09,Compare,False
1987,DUMMY_19,2017-12-27,Compare,False
완벽한 타인,DUMMY_완벽,2018-10-31,Compare,False
독전,DUMMY_독전,2024-01-01,Compare,False
강철비,DUMMY_강철,2017-12-14,Compare,False
남한산성,DUMMY_남한,2017-10-03,Compare,False
꾼,DUMMY_꾼,2017-11-22,Compare,False
히말라야,DUMMY_히말,2015-12-16,Compare,False
모가디슈,DUMMY_모가,2021-07-28,Compare,False
싱크홀,DUMMY_싱크,2021-08-11,Compare,False
헌트,DUMMY_헌트,2022-08-10,Compare,False
올빼미,DUMMY_올빼,2022-11-23,Compare,False
영웅,DUMMY_영웅,2022-12-21,Compare,False
콘크리트 유토피아,DUMMY_콘크,2023-08-09,Compare,False
파일럿,DUMMY_파일,2024-07-31,Compare,False
탈주,DUMMY_탈주,2024-07-03,Compare,False
교섭,DUMMY_교섭,2023-01-18,Compare,False
핸섬가이즈,DUMMY_핸섬,2024-06-26,Compare,False
인질,DUMMY_인질,2021-08-18,Compare,False
보이스,DUMMY_보이,2024-01-01,Compare,False
외계+인 2부,DUMMY_외계,2024-01-10,Compare,False
슬립,DUMMY_슬립,2024-01-01,Compare,False
드림,DUMMY_드림,2024-01-01,Compare,False
마녀,DUMMY_마녀,2024-01-01,Compare,False
곤지암,DUMMY_곤지,2018-03-28,Compare,False
박열,DUMMY_박열,2017-06-28,Compare,False
나쁜 녀석들: 더 무비,DUMMY_나쁜,2019-09-11,Compare,False
