movie_title,blog_docs_30d,cafe_docs_30d,total_docs_30d,unique_links_30d
왕과 사는 남자,200,0,200,200
명량,200,0,200,200
극한직업,200,0,200,200
파묘,200,0,200,200
서울의 봄,200,0,200,200
범죄도시2,200,0,200,200
신과함께-죄와 벌,200,0,200,200
국제시장,200,0,200,200
한산: 용의 출현,200,0,200,200
공조2: 인터내셔날,200,0,200,200
베테랑2,200,0,200,200
밀수,200,0,200,200
하얼빈,200,0,200,200
노량: 죽음의 바다,65,0,65,65
엑시트,200,0,200,200
백두산,200,0,200,200
안시성,200,0,200,200
내부자들,200,0,200,200
인천상륙작전,200,0,200,200
마스터,200,0,200,200
청년경찰,200,0,200,200
1987,200,0,200,200
완벽한 타인,200,0,200,200
독전,200,0,200,200
강철비,83,0,83,83
남한산성,200,0,200,200
꾼,200,0,200,200
히말라야,200,0,200,200
모가디슈,200,0,200,200
싱크홀,200,0,200,200
헌트,200,0,200,200
올빼미,200,0,200,200
영웅,200,0,200,199
콘크리트 유토피아,200,0,200,200
파일럿,200,0,200,200
탈주,200,0,200,200
교섭,200,0,200,200
핸섬가이즈,77,0,77,77
인질,200,0,200,200
보이스,200,0,200,200
시민덕희,59,0,59,59
외계+인 2부,108,0,108,108
슬립,200,0,200,200
드림,200,0,200,200
마녀,200,0,200,200
곤지암,200,0,200,200
박열,147,0,147,147
나쁜 녀석들: 더 무비,61,0,61,61
