movie_title,views_sum,likes_sum,comments_sum,comment_30d_count,engagement_rate
왕과 사는 남자,18455077,217593,8156,2152,1.2232
명량,1085184,2171,351,0,0.2324
극한직업,9096330,42161,2456,1,0.4905
파묘,11191019,91935,8810,370,0.9002
서울의 봄,13024187,125692,16595,10,1.0925
범죄도시2,11513972,56277,5304,3,0.5348
신과함께-죄와 벌,2170026,5097,1933,0,0.324
국제시장,5061414,64378,1674,11,1.305
한산: 용의 출현,13686479,76736,13869,38,0.662
공조2: 인터내셔날,3891833,17638,1750,3,0.4982
베테랑2,6572499,28627,4562,0,0.505
밀수,1651281,5948,1042,0,0.4233
하얼빈,4233996,31902,6536,0,0.9078
노량: 죽음의 바다,1046549,4266,1437,0,0.5449
엑시트,7210205,10438,1539,0,0.1661
백두산,2642389,10374,3131,1,0.5111
안시성,269125,610,899,0,0.5607
내부자들,2395479,46567,3321,4,2.0826
인천상륙작전,3775466,8133,2048,0,0.2697
마스터,1462787,8451,2957,4,0.7799
청년경찰,204629,1409,51,0,0.7135
1987,680364,2926,602,0,0.5185
완벽한 타인,1151521,1031,212,0,0.1079
독전,5746839,59581,6739,4,1.154
강철비,3004385,1478,1607,0,0.1027
남한산성,401173,973,322,2,0.3228
꾼,8870566,74226,3884,531,0.8806
히말라야,412290,616,238,4,0.2071
모가디슈,2631079,4963,1734,0,0.2545
싱크홀,2586335,5849,825,0,0.258
헌트,6473713,46085,4847,7,0.7868
올빼미,1261216,3009,614,0,0.2873
영웅,6580105,52825,8901,371,0.9381
콘크리트 유토피아,7167874,20828,3384,0,0.3378
파일럿,2520118,37281,1087,1,1.5225
탈주,3477733,51679,3968,4,1.6001
교섭,3171653,4011,1332,1,0.1685
핸섬가이즈,1975161,3759,675,2,0.2245
인질,3062204,5791,1526,0,0.2389
보이스,8314242,194771,1401,14,2.3595
외계+인 2부,6659585,23120,5095,0,0.4237
슬립,1172902,6443,692,0,0.6083
드림,6544502,45887,2889,0,0.7453
마녀,751371,6101,811,0,0.9199
곤지암,885824,2024,118,0,0.2418
박열,2275396,46626,3322,4,2.1951
나쁜 녀석들: 더 무비,4245612,5722,988,0,0.158
